INSERT INTO AssistenciaAceita (id_assistenciaaceita, id_produto, id_prestador, codigo, dataassis, nome_segurado, servico, enderecoretirada, enderecoentrega, veiculo, valorsaida, valorhoraparada, valorhoratrabalhada, valortotalassist)
172,2,18,3353,2024-04-27,Paulo Lima,Remoção,"Avenida Independência, 610","Avenida Tiradentes, 432",Renault Duster,180.00,,40.0,220.00
173,2,4,3437,2024-04-11,João Silva,Remoção,"Rua dos Navegantes, 848","Avenida Tiradentes, 337",Renault Duster,180.00,,40.0,220.00
174,3,16,1438,2024-04-11,João Silva,Remoção,"Avenida Atlântica, 168","Rua Dom Pedro, 973",Ford Ka,180.00,40.0,40.0,260.00
175,3,20,4392,2024-04-25,Fernanda Ribeiro,Carga de Bateria,"Rua das Flores, 504","Avenida Tiradentes, 529",Harley Davidson,80.00,40.0,40.0,160.00
176,1,8,1856,2024-04-10,Carlos Souza,Remoção,"Rua das Palmeiras, 631","Rua XV de Novembro, 972",Honda Civic,180.00,,,180.00
177,3,4,4527,2024-04-02,Carlos Souza,Carga de Bateria,"Rua Dom Pedro, 400","Avenida Tiradentes, 875",Fiat Strada,80.00,,40.0,120.00
178,1,18,4880,2024-04-05,Pedro Barbosa,Carga de Bateria,"Avenida Paulista, 346","Avenida Tiradentes, 974",Yamaha Fazer,80.00,,40.0,120.00
179,2,11,1170,2024-04-26,Juliana Costa,Troca de Pneus,"Avenida Independência, 483","Rua Dom Pedro, 704",Renault Duster,80.00,40.0,40.0,160.00
180,2,20,5795,2024-04-21,Ana Pereira,Troca de Pneus,"Rua dos Navegantes, 700","Rua das Palmeiras, 342",Renault Duster,80.00,,40.0,120.00
181,1,19,6587,2024-04-19,Juliana Costa,Troca de Pneus,"Rua dos Navegantes, 676","Avenida Atlântica, 421",Yamaha Fazer,80.00,40.0,40.0,160.00
182,3,11,9505,2024-04-23,Paulo Lima,Carga de Bateria,"Rua XV de Novembro, 490","Rua Dom Pedro, 569",Chevrolet Onix,80.00,40.0,,120.00
183,2,1,3742,2024-04-02,Paulo Lima,Carga de Bateria,"Avenida Atlântica, 294","Rua das Flores, 677",Fiat Strada,80.00,,40.0,120.00
184,1,9,3054,2024-04-25,Juliana Costa,Troca de Pneus,"Rua das Palmeiras, 500","Avenida Atlântica, 78",Ford Ka,80.00,40.0,,120.00
185,1,19,8593,2024-04-19,Paulo Lima,Carga de Bateria,"Avenida Tiradentes, 616","Rua XV de Novembro, 990",Toyota Corolla,80.00,40.0,,120.00
186,1,15,6617,2024-04-15,Paulo Lima,Carga de Bateria,"Rua das Palmeiras, 632","Avenida Paulista, 275",Chevrolet Onix,80.00,40.0,,120.00
187,1,17,2009,2024-04-11,Juliana Costa,Carga de Bateria,"Rua das Palmeiras, 844","Rua das Flores, 990",Toyota Corolla,80.00,40.0,,120.00
188,2,6,3292,2024-04-09,Juliana Costa,Remoção,"Rua das Palmeiras, 599","Rua XV de Novembro, 365",Jeep Renegade,180.00,40.0,40.0,260.00
189,1,11,2601,2024-05-13,Juliana Costa,Troca de Pneus,"Avenida Atlântica, 528","Rua Dom Pedro, 686",Honda Civic,80.00,,,80.00
190,3,1,8061,2024-05-13,Ana Pereira,Remoção,"Rua XV de Novembro, 760","Avenida Atlântica, 979",Ford Ka,180.00,,,180.00
191,3,1,1381,2024-05-02,Pedro Barbosa,Remoção,"Rua das Flores, 317","Rua XV de Novembro, 319",Toyota Corolla,180.00,,40.0,220.00
192,1,3,5383,2024-05-04,Lucas Rocha,Carga de Bateria,"Rua dos Navegantes, 624","Rua Dom Pedro, 87",Honda Civic,80.00,,40.0,120.00
193,3,4,2188,2024-05-04,João Silva,Remoção,"Avenida Paulista, 445","Avenida Independência, 807",Fiat Strada,180.00,40.0,40.0,260.00
194,1,11,9284,2024-05-13,Maria Oliveira,Carga de Bateria,"Avenida Independência, 434","Rua das Palmeiras, 91",Toyota Corolla,80.00,40.0,40.0,160.00
195,3,6,5339,2024-05-09,Carlos Souza,Carga de Bateria,"Avenida Paulista, 877","Rua XV de Novembro, 295",Renault Duster,80.00,,,80.00
196,2,12,2507,2024-05-20,Maria Oliveira,Troca de Pneus,"Avenida Paulista, 993","Avenida Independência, 393",Honda Civic,80.00,,40.0,120.00
197,1,11,2096,2024-05-23,Clara Gomes,Troca de Pneus,"Avenida Paulista, 721","Rua das Flores, 382",Ford Ka,80.00,40.0,,120.00
198,2,17,1533,2024-05-17,Maria Oliveira,Carga de Bateria,"Avenida Tiradentes, 245","Rua XV de Novembro, 792",Jeep Renegade,80.00,40.0,,120.00
199,2,18,5034,2024-05-28,Paulo Lima,Troca de Pneus,"Rua Dom Pedro, 774","Rua dos Navegantes, 801",Harley Davidson,80.00,,,80.00
200,3,13,9934,2024-05-26,Carlos Souza,Remoção,"Rua dos Navegantes, 889","Rua XV de Novembro, 74",Renault Duster,180.00,40.0,,220.00
201,2,13,8347,2024-05-10,Paulo Lima,Remoção,"Rua das Flores, 609","Rua dos Navegantes, 79",Honda Civic,180.00,40.0,,220.00
202,2,16,5599,2024-05-26,Paulo Lima,Troca de Pneus,"Avenida Paulista, 475","Avenida Independência, 418",Harley Davidson,80.00,40.0,40.0,160.00
203,1,19,3009,2024-05-03,Pedro Barbosa,Carga de Bateria,"Rua das Palmeiras, 100","Rua das Flores, 953",Honda Civic,80.00,40.0,,120.00
204,1,8,1956,2024-05-06,Paulo Lima,Troca de Pneus,"Rua das Palmeiras, 489","Avenida Atlântica, 888",Renault Duster,80.00,,40.0,120.00
205,3,7,2514,2024-05-22,Carlos Souza,Carga de Bateria,"Rua Dom Pedro, 428","Avenida Independência, 379",Honda Civic,80.00,,40.0,120.00
206,2,13,2797,2024-05-01,Maria Oliveira,Troca de Pneus,"Rua XV de Novembro, 217","Avenida Paulista, 401",Ford Ka,80.00,,40.0,120.00
207,1,14,6634,2024-05-07,Maria Oliveira,Troca de Pneus,"Avenida Atlântica, 855","Rua dos Navegantes, 618",Harley Davidson,80.00,40.0,,120.00
208,3,17,2124,2024-05-15,Clara Gomes,Troca de Pneus,"Avenida Atlântica, 55","Avenida Atlântica, 21",VW Gol,80.00,,40.0,120.00
209,1,10,6547,2024-05-14,Lucas Rocha,Remoção,"Avenida Independência, 595","Rua XV de Novembro, 679",Toyota Corolla,180.00,40.0,40.0,260.00
210,1,8,6488,2024-05-28,Paulo Lima,Carga de Bateria,"Rua Dom Pedro, 597","Avenida Independência, 256",Harley Davidson,80.00,,40.0,120.00
211,3,13,8877,2024-05-11,Fernanda Ribeiro,Troca de Pneus,"Rua dos Navegantes, 596","Avenida Independência, 794",Renault Duster,80.00,40.0,40.0,160.00
212,1,10,7903,2024-05-27,Carlos Souza,Remoção,"Rua XV de Novembro, 724","Avenida Paulista, 811",VW Gol,180.00,,40.0,220.00
213,3,5,9217,2024-05-09,Pedro Barbosa,Carga de Bateria,"Rua Dom Pedro, 956","Rua dos Navegantes, 710",Chevrolet Onix,80.00,,40.0,120.00
214,3,14,9784,2024-05-15,Carlos Souza,Carga de Bateria,"Avenida Atlântica, 731","Rua das Flores, 165",Harley Davidson,80.00,,40.0,120.00
215,2,15,3837,2024-05-10,Pedro Barbosa,Remoção,"Avenida Atlântica, 311","Avenida Atlântica, 179",VW Gol,180.00,40.0,40.0,260.00
216,2,17,1414,2024-05-22,Clara Gomes,Carga de Bateria,"Rua dos Navegantes, 29","Rua dos Navegantes, 659",VW Gol,80.00,40.0,40.0,160.00
217,2,18,6808,2024-05-28,Lucas Rocha,Troca de Pneus,"Rua das Palmeiras, 876","Avenida Independência, 553",Toyota Corolla,80.00,,40.0,120.00
218,1,19,9033,2024-05-11,Paulo Lima,Remoção,"Avenida Independência, 329","Avenida Atlântica, 507",VW Gol,180.00,40.0,,220.00
219,1,6,1385,2024-05-13,Ana Pereira,Troca de Pneus,"Rua XV de Novembro, 171","Avenida Tiradentes, 60",VW Gol,80.00,40.0,40.0,160.00
220,1,15,4162,2024-05-23,Clara Gomes,Remoção,"Rua das Palmeiras, 873","Avenida Tiradentes, 982",Fiat Strada,180.00,40.0,40.0,260.00
221,3,6,3889,2024-05-18,Carlos Souza,Carga de Bateria,"Avenida Paulista, 973","Avenida Tiradentes, 157",Ford Ka,80.00,40.0,40.0,160.00
222,1,7,3622,2024-05-08,Clara Gomes,Troca de Pneus,"Rua Dom Pedro, 110","Avenida Independência, 913",Fiat Strada,80.00,40.0,40.0,160.00
223,1,11,7143,2024-05-04,Paulo Lima,Carga de Bateria,"Avenida Tiradentes, 148","Avenida Atlântica, 587",Fiat Strada,80.00,40.0,40.0,160.00
224,2,12,9597,2024-05-23,Pedro Barbosa,Carga de Bateria,"Avenida Paulista, 466","Rua Dom Pedro, 310",Toyota Corolla,80.00,,,80.00
225,2,8,6528,2024-05-06,Ana Pereira,Troca de Pneus,"Avenida Atlântica, 662","Rua XV de Novembro, 402",Toyota Corolla,80.00,,,80.00
226,2,12,8170,2024-05-14,Lucas Rocha,Remoção,"Rua das Palmeiras, 736","Avenida Atlântica, 522",Fiat Strada,180.00,40.0,,220.00
227,3,6,4189,2024-05-07,João Silva,Carga de Bateria,"Rua dos Navegantes, 194","Rua Dom Pedro, 53",Ford Ka,80.00,,,80.00
228,1,3,5703,2024-05-19,Ana Pereira,Carga de Bateria,"Avenida Atlântica, 277","Rua das Palmeiras, 771",Renault Duster,80.00,,,80.00
229,1,2,9239,2024-05-07,João Silva,Troca de Pneus,"Rua das Palmeiras, 389","Avenida Independência, 686",Ford Ka,80.00,,40.0,120.00
230,3,10,3859,2024-05-11,Carlos Souza,Carga de Bateria,"Avenida Atlântica, 839","Avenida Atlântica, 98",Fiat Strada,80.00,,40.0,120.00
231,1,19,3095,2024-05-10,Pedro Barbosa,Carga de Bateria,"Avenida Atlântica, 270","Rua dos Navegantes, 56",VW Gol,80.00,40.0,40.0,160.00
232,1,3,4436,2024-05-26,Pedro Barbosa,Carga de Bateria,"Rua das Palmeiras, 659","Avenida Tiradentes, 253",Ford Ka,80.00,40.0,40.0,160.00
233,3,15,3739,2024-06-15,Paulo Lima,Remoção,"Rua Dom Pedro, 115","Rua das Flores, 737",Chevrolet Onix,180.00,40.0,40.0,260.00
234,1,12,1127,2024-06-18,Juliana Costa,Carga de Bateria,"Avenida Independência, 760","Rua das Flores, 67",Ford Ka,80.00,40.0,40.0,160.00
235,3,8,6992,2024-06-19,Lucas Rocha,Troca de Pneus,"Avenida Independência, 187","Rua das Palmeiras, 851",Harley Davidson,80.00,40.0,,120.00
236,3,13,8705,2024-06-05,João Silva,Troca de Pneus,"Rua Dom Pedro, 283","Rua dos Navegantes, 306",Chevrolet Onix,80.00,40.0,,120.00
237,2,3,8741,2024-06-23,Juliana Costa,Carga de Bateria,"Avenida Independência, 464","Rua XV de Novembro, 484",Jeep Renegade,80.00,,40.0,120.00
238,2,3,7677,2024-06-09,Paulo Lima,Remoção,"Avenida Paulista, 434","Rua dos Navegantes, 119",Yamaha Fazer,180.00,40.0,40.0,260.00
239,1,10,8941,2024-06-14,Clara Gomes,Remoção,"Rua dos Navegantes, 703","Avenida Atlântica, 112",Renault Duster,180.00,40.0,40.0,260.00
240,3,5,3046,2024-06-05,Maria Oliveira,Remoção,"Rua XV de Novembro, 20","Avenida Tiradentes, 952",Renault Duster,180.00,,40.0,220.00
241,2,16,1018,2024-06-12,Juliana Costa,Troca de Pneus,"Rua das Flores, 257","Rua das Flores, 369",Yamaha Fazer,80.00,40.0,,120.00
242,3,20,5989,2024-06-04,João Silva,Troca de Pneus,"Avenida Independência, 961","Rua XV de Novembro, 594",Chevrolet Onix,80.00,40.0,,120.00
243,3,10,7084,2024-06-19,Ana Pereira,Carga de Bateria,"Avenida Paulista, 270","Rua das Palmeiras, 582",Chevrolet Onix,80.00,40.0,,120.00
244,3,15,6173,2024-06-25,Fernanda Ribeiro,Carga de Bateria,"Rua XV de Novembro, 921","Avenida Paulista, 399",Chevrolet Onix,80.00,40.0,,120.00
245,3,10,4934,2024-06-08,Ana Pereira,Troca de Pneus,"Avenida Independência, 860","Rua XV de Novembro, 544",Yamaha Fazer,80.00,40.0,40.0,160.00
246,2,6,3845,2024-06-18,Lucas Rocha,Troca de Pneus,"Avenida Paulista, 999","Rua dos Navegantes, 75",Yamaha Fazer,80.00,,40.0,120.00
247,3,1,9311,2024-06-28,Clara Gomes,Troca de Pneus,"Rua XV de Novembro, 441","Rua dos Navegantes, 201",Chevrolet Onix,80.00,40.0,40.0,160.00
248,2,18,7759,2024-06-02,Fernanda Ribeiro,Troca de Pneus,"Rua das Palmeiras, 207","Rua das Palmeiras, 802",VW Gol,80.00,,40.0,120.00
249,2,15,6735,2024-06-04,João Silva,Troca de Pneus,"Rua das Palmeiras, 28","Rua Dom Pedro, 853",Yamaha Fazer,80.00,,40.0,120.00
250,2,15,9522,2024-06-21,Pedro Barbosa,Remoção,"Rua das Palmeiras, 666","Rua XV de Novembro, 421",Harley Davidson,180.00,,,180.00
251,1,1,6523,2024-06-04,Pedro Barbosa,Troca de Pneus,"Avenida Independência, 883","Rua XV de Novembro, 329",Jeep Renegade,80.00,,,80.00
252,3,1,3087,2024-06-19,Pedro Barbosa,Remoção,"Avenida Paulista, 383","Rua das Palmeiras, 274",Fiat Strada,180.00,,40.0,220.00
253,1,8,9213,2024-06-27,Maria Oliveira,Remoção,"Avenida Independência, 461","Avenida Independência, 754",Fiat Strada,180.00,,40.0,220.00
254,3,6,3418,2024-06-26,Fernanda Ribeiro,Carga de Bateria,"Rua Dom Pedro, 10","Avenida Atlântica, 213",Yamaha Fazer,80.00,40.0,40.0,160.00
255,3,3,2826,2024-06-08,Juliana Costa,Carga de Bateria,"Rua Dom Pedro, 50","Avenida Atlântica, 500",Fiat Strada,80.00,40.0,,120.00
256,1,19,6526,2024-06-13,Ana Pereira,Remoção,"Avenida Atlântica, 908","Rua das Flores, 180",VW Gol,180.00,40.0,,220.00
257,1,18,2611,2024-06-24,Juliana Costa,Remoção,"Rua XV de Novembro, 656","Avenida Tiradentes, 135",VW Gol,180.00,,,180.00
258,1,7,3137,2024-06-03,Pedro Barbosa,Carga de Bateria,"Avenida Independência, 409","Rua Dom Pedro, 923",Ford Ka,80.00,,,80.00
259,3,3,5082,2024-06-21,Paulo Lima,Carga de Bateria,"Rua XV de Novembro, 942","Avenida Paulista, 478",Yamaha Fazer,80.00,,,80.00
260,1,5,2096,2024-06-15,Paulo Lima,Remoção,"Rua Dom Pedro, 563","Rua das Palmeiras, 132",VW Gol,180.00,,40.0,220.00
261,3,11,2813,2024-06-13,Pedro Barbosa,Remoção,"Avenida Tiradentes, 851","Rua das Flores, 419",Toyota Corolla,180.00,40.0,40.0,260.00
262,3,11,6576,2024-06-13,Juliana Costa,Troca de Pneus,"Avenida Independência, 491","Avenida Independência, 543",Yamaha Fazer,80.00,,,80.00
263,2,8,6256,2024-06-18,Pedro Barbosa,Troca de Pneus,"Avenida Paulista, 657","Avenida Atlântica, 241",Jeep Renegade,80.00,40.0,40.0,160.00
264,3,15,4612,2024-06-17,Fernanda Ribeiro,Carga de Bateria,"Avenida Paulista, 189","Avenida Paulista, 504",Harley Davidson,80.00,,,80.00
265,3,9,8103,2024-06-11,Ana Pereira,Remoção,"Avenida Paulista, 567","Rua das Palmeiras, 301",Chevrolet Onix,180.00,,40.0,220.00
266,1,14,1561,2024-06-27,João Silva,Remoção,"Avenida Atlântica, 277","Rua das Flores, 133",Harley Davidson,180.00,,40.0,220.00
267,1,5,7808,2024-06-10,Lucas Rocha,Troca de Pneus,"Avenida Independência, 691","Rua dos Navegantes, 388",VW Gol,80.00,,40.0,120.00
268,3,8,7766,2024-06-16,Ana Pereira,Carga de Bateria,"Rua XV de Novembro, 691","Avenida Paulista, 748",Ford Ka,80.00,40.0,40.0,160.00
269,2,5,9445,2024-06-27,Clara Gomes,Carga de Bateria,"Rua das Palmeiras, 904","Avenida Tiradentes, 339",Chevrolet Onix,80.00,,40.0,120.00
270,2,16,6897,2024-06-20,Carlos Souza,Troca de Pneus,"Rua das Palmeiras, 365","Rua dos Navegantes, 264",Harley Davidson,80.00,40.0,40.0,160.00
271,1,3,6543,2024-06-08,Carlos Souza,Troca de Pneus,"Avenida Tiradentes, 593","Rua dos Navegantes, 192",Ford Ka,80.00,40.0,40.0,160.00
272,3,4,8792,2024-06-05,Pedro Barbosa,Carga de Bateria,"Rua dos Navegantes, 290","Rua das Flores, 675",Fiat Strada,80.00,40.0,,120.00
273,1,3,5964,2024-06-25,Pedro Barbosa,Troca de Pneus,"Rua XV de Novembro, 977","Rua das Flores, 497",Toyota Corolla,80.00,40.0,,120.00
274,2,2,3070,2024-06-13,Clara Gomes,Carga de Bateria,"Rua das Flores, 39","Avenida Atlântica, 838",Fiat Strada,80.00,,40.0,120.00
275,3,4,7018,2024-06-24,Ana Pereira,Troca de Pneus,"Avenida Independência, 412","Avenida Independência, 402",Renault Duster,80.00,,40.0,120.00
276,3,2,9118,2024-06-23,Juliana Costa,Remoção,"Avenida Paulista, 923","Avenida Atlântica, 39",Toyota Corolla,180.00,,,180.00
277,3,11,9943,2024-06-05,Ana Pereira,Troca de Pneus,"Avenida Tiradentes, 904","Rua dos Navegantes, 676",Fiat Strada,80.00,40.0,,120.00
278,3,8,6088,2024-06-01,Clara Gomes,Carga de Bateria,"Rua Dom Pedro, 778","Rua dos Navegantes, 961",Yamaha Fazer,80.00,,,80.00
279,2,20,2962,2024-06-19,Lucas Rocha,Troca de Pneus,"Rua das Palmeiras, 722","Rua dos Navegantes, 843",Honda Civic,80.00,40.0,40.0,160.00
280,3,4,3796,2024-06-10,Maria Oliveira,Remoção,"Avenida Paulista, 200","Rua das Palmeiras, 285",Ford Ka,180.00,,,180.00
281,1,17,5654,2024-06-13,Ana Pereira,Carga de Bateria,"Avenida Atlântica, 665","Rua das Flores, 971",VW Gol,80.00,,,80.00
282,2,12,2684,2024-06-24,Ana Pereira,Carga de Bateria,"Rua XV de Novembro, 947","Rua das Palmeiras, 897",Fiat Strada,80.00,40.0,40.0,160.00
283,2,11,3242,2024-07-05,Lucas Rocha,Remoção,"Rua dos Navegantes, 60","Avenida Atlântica, 511",Harley Davidson,180.00,,40.0,220.00
284,3,19,7276,2024-07-28,João Silva,Carga de Bateria,"Rua XV de Novembro, 942","Rua dos Navegantes, 816",Yamaha Fazer,80.00,,40.0,120.00
285,3,9,9234,2024-07-13,Ana Pereira,Troca de Pneus,"Rua Dom Pedro, 32","Rua das Palmeiras, 589",Toyota Corolla,80.00,40.0,,120.00
286,1,17,3035,2024-07-24,Fernanda Ribeiro,Remoção,"Rua XV de Novembro, 668","Rua das Palmeiras, 980",Harley Davidson,180.00,40.0,,220.00
287,3,14,7422,2024-07-03,Lucas Rocha,Troca de Pneus,"Rua Dom Pedro, 523","Rua dos Navegantes, 612",Ford Ka,80.00,40.0,,120.00
288,2,19,3440,2024-07-17,Clara Gomes,Troca de Pneus,"Rua Dom Pedro, 509","Rua XV de Novembro, 381",Chevrolet Onix,80.00,,40.0,120.00
289,2,7,7590,2024-07-24,Ana Pereira,Remoção,"Rua das Palmeiras, 767","Rua Dom Pedro, 186",Chevrolet Onix,180.00,,40.0,220.00
290,1,11,3419,2024-07-20,Juliana Costa,Carga de Bateria,"Rua dos Navegantes, 234","Avenida Paulista, 535",VW Gol,80.00,,,80.00
291,1,9,2276,2024-07-22,Ana Pereira,Carga de Bateria,"Avenida Independência, 846","Rua das Palmeiras, 174",Harley Davidson,80.00,40.0,,120.00
292,2,15,7502,2024-07-11,Fernanda Ribeiro,Carga de Bateria,"Rua das Flores, 834","Rua dos Navegantes, 485",Renault Duster,80.00,40.0,,120.00
293,2,5,6364,2024-07-18,Fernanda Ribeiro,Remoção,"Avenida Atlântica, 911","Avenida Atlântica, 988",Toyota Corolla,180.00,40.0,,220.00
294,3,12,5897,2024-07-20,Lucas Rocha,Remoção,"Rua Dom Pedro, 77","Avenida Tiradentes, 524",Renault Duster,180.00,,,180.00
295,1,7,4079,2024-07-22,Juliana Costa,Troca de Pneus,"Avenida Paulista, 374","Avenida Atlântica, 971",Chevrolet Onix,80.00,40.0,,120.00
296,1,7,6541,2024-07-25,Clara Gomes,Carga de Bateria,"Rua das Flores, 698","Rua das Flores, 149",Honda Civic,80.00,,,80.00
297,2,20,4605,2024-07-03,Lucas Rocha,Remoção,"Avenida Independência, 722","Avenida Paulista, 355",Chevrolet Onix,180.00,40.0,40.0,260.00
298,3,16,9142,2024-07-19,Pedro Barbosa,Remoção,"Rua dos Navegantes, 509","Avenida Independência, 489",Ford Ka,180.00,40.0,,220.00
299,2,20,3001,2024-07-05,João Silva,Carga de Bateria,"Avenida Paulista, 599","Rua dos Navegantes, 778",Toyota Corolla,80.00,40.0,,120.00
300,1,15,4019,2024-07-18,Clara Gomes,Carga de Bateria,"Rua Dom Pedro, 840","Rua XV de Novembro, 619",Fiat Strada,80.00,40.0,,120.00
301,3,15,7171,2024-07-22,Lucas Rocha,Remoção,"Rua das Flores, 667","Avenida Paulista, 428",Toyota Corolla,180.00,,40.0,220.00
302,2,6,2287,2024-07-27,Ana Pereira,Carga de Bateria,"Rua dos Navegantes, 497","Avenida Tiradentes, 796",Fiat Strada,80.00,,40.0,120.00
303,3,7,4660,2024-07-25,Pedro Barbosa,Carga de Bateria,"Rua Dom Pedro, 318","Rua das Flores, 28",Yamaha Fazer,80.00,40.0,,120.00
304,3,15,8533,2024-07-07,João Silva,Troca de Pneus,"Rua dos Navegantes, 494","Rua das Palmeiras, 911",Ford Ka,80.00,40.0,,120.00
305,1,5,6339,2024-07-22,Clara Gomes,Carga de Bateria,"Avenida Paulista, 751","Rua Dom Pedro, 955",Chevrolet Onix,80.00,40.0,40.0,160.00
306,3,12,3830,2024-07-11,Juliana Costa,Carga de Bateria,"Rua das Palmeiras, 980","Rua das Palmeiras, 993",Honda Civic,80.00,,40.0,120.00
307,2,8,6910,2024-07-14,Paulo Lima,Remoção,"Rua XV de Novembro, 682","Avenida Tiradentes, 257",Harley Davidson,180.00,40.0,,220.00
308,3,9,1766,2024-07-07,João Silva,Carga de Bateria,"Rua XV de Novembro, 286","Avenida Tiradentes, 380",Ford Ka,80.00,40.0,40.0,160.00
309,2,19,5892,2024-07-08,Paulo Lima,Troca de Pneus,"Avenida Atlântica, 520","Rua XV de Novembro, 746",Yamaha Fazer,80.00,,40.0,120.00
310,3,11,7376,2024-07-22,Maria Oliveira,Carga de Bateria,"Avenida Paulista, 785","Rua XV de Novembro, 324",Ford Ka,80.00,40.0,,120.00
311,3,11,4753,2024-07-23,Lucas Rocha,Carga de Bateria,"Avenida Independência, 636","Avenida Independência, 742",Ford Ka,80.00,40.0,,120.00
312,3,16,2139,2024-07-27,Lucas Rocha,Remoção,"Rua Dom Pedro, 857","Rua das Flores, 247",Renault Duster,180.00,,40.0,220.00
313,2,7,7461,2024-07-18,Clara Gomes,Carga de Bateria,"Rua Dom Pedro, 370","Rua XV de Novembro, 440",Toyota Corolla,80.00,,40.0,120.00
314,3,3,4721,2024-07-23,João Silva,Troca de Pneus,"Rua XV de Novembro, 934","Avenida Atlântica, 156",Jeep Renegade,80.00,40.0,,120.00
315,3,3,2484,2024-07-07,Clara Gomes,Troca de Pneus,"Rua das Palmeiras, 734","Rua XV de Novembro, 316",Toyota Corolla,80.00,,40.0,120.00
316,1,5,5706,2024-07-04,Pedro Barbosa,Remoção,"Rua das Flores, 529","Avenida Tiradentes, 944",Renault Duster,180.00,,,180.00
317,3,15,6680,2024-07-14,Maria Oliveira,Troca de Pneus,"Rua das Palmeiras, 543","Rua das Flores, 693",Chevrolet Onix,80.00,,40.0,120.00
318,3,1,5786,2024-07-05,Maria Oliveira,Troca de Pneus,"Rua XV de Novembro, 387","Avenida Atlântica, 462",Honda Civic,80.00,40.0,40.0,160.00
319,1,18,8601,2024-07-06,Carlos Souza,Troca de Pneus,"Avenida Independência, 526","Rua Dom Pedro, 456",Harley Davidson,80.00,40.0,,120.00
320,1,13,8843,2024-07-24,Lucas Rocha,Troca de Pneus,"Rua Dom Pedro, 702","Avenida Paulista, 616",Jeep Renegade,80.00,,40.0,120.00
321,1,4,9049,2024-07-13,João Silva,Troca de Pneus,"Rua das Palmeiras, 788","Avenida Independência, 237",Fiat Strada,80.00,,40.0,120.00
322,2,10,6442,2024-07-14,Clara Gomes,Carga de Bateria,"Avenida Tiradentes, 539","Avenida Tiradentes, 652",Toyota Corolla,80.00,,40.0,120.00
323,1,3,6690,2024-07-08,Juliana Costa,Remoção,"Rua XV de Novembro, 403","Rua XV de Novembro, 72",Ford Ka,180.00,,,180.00
324,3,18,2865,2024-07-19,Carlos Souza,Remoção,"Rua dos Navegantes, 427","Avenida Tiradentes, 551",VW Gol,180.00,,,180.00
325,1,1,9785,2024-07-04,Ana Pereira,Remoção,"Rua dos Navegantes, 815","Rua das Flores, 57",Toyota Corolla,180.00,,40.0,220.00
326,3,20,1922,2024-07-06,Paulo Lima,Remoção,"Rua das Palmeiras, 194","Rua das Palmeiras, 646",Jeep Renegade,180.00,40.0,,220.00
327,2,1,8429,2024-07-26,Carlos Souza,Carga de Bateria,"Rua XV de Novembro, 176","Rua das Flores, 982",VW Gol,80.00,40.0,,120.00
328,3,5,2795,2024-07-13,Fernanda Ribeiro,Troca de Pneus,"Rua Dom Pedro, 669","Avenida Independência, 975",Toyota Corolla,80.00,,,80.00
329,1,18,2854,2024-07-20,Maria Oliveira,Troca de Pneus,"Avenida Tiradentes, 120","Avenida Atlântica, 400",Honda Civic,80.00,40.0,40.0,160.00
330,2,5,3929,2024-07-27,Juliana Costa,Troca de Pneus,"Avenida Atlântica, 614","Rua das Palmeiras, 553",Jeep Renegade,80.00,40.0,40.0,160.00
331,3,17,8284,2024-07-05,Juliana Costa,Troca de Pneus,"Avenida Atlântica, 539","Avenida Independência, 489",Toyota Corolla,80.00,40.0,,120.00
332,2,3,8355,2024-07-09,Fernanda Ribeiro,Remoção,"Rua XV de Novembro, 131","Rua Dom Pedro, 628",Renault Duster,180.00,,40.0,220.00
333,2,10,8501,2024-08-22,Maria Oliveira,Carga de Bateria,"Avenida Atlântica, 862","Rua dos Navegantes, 446",Yamaha Fazer,80.00,40.0,,120.00
334,1,14,8343,2024-08-24,Paulo Lima,Troca de Pneus,"Avenida Paulista, 490","Rua XV de Novembro, 967",Chevrolet Onix,80.00,40.0,,120.00
335,2,18,1224,2024-08-09,Carlos Souza,Troca de Pneus,"Avenida Atlântica, 381","Rua das Palmeiras, 550",Ford Ka,80.00,,,80.00
336,2,3,6854,2024-08-17,Pedro Barbosa,Troca de Pneus,"Rua Dom Pedro, 493","Avenida Paulista, 627",Yamaha Fazer,80.00,40.0,40.0,160.00
337,3,10,3115,2024-08-22,João Silva,Remoção,"Avenida Paulista, 88","Avenida Independência, 798",Jeep Renegade,180.00,40.0,40.0,260.00
338,2,14,8586,2024-08-08,Clara Gomes,Troca de Pneus,"Avenida Tiradentes, 600","Avenida Tiradentes, 95",Harley Davidson,80.00,40.0,40.0,160.00
339,3,13,8381,2024-08-13,Paulo Lima,Remoção,"Rua das Palmeiras, 31","Rua XV de Novembro, 902",Jeep Renegade,180.00,,40.0,220.00
340,3,5,2404,2024-08-18,João Silva,Carga de Bateria,"Rua das Flores, 728","Avenida Tiradentes, 598",Fiat Strada,80.00,40.0,,120.00
341,3,14,9775,2024-08-05,Clara Gomes,Troca de Pneus,"Rua das Palmeiras, 42","Avenida Tiradentes, 826",Chevrolet Onix,80.00,,,80.00
342,3,11,5601,2024-08-02,Fernanda Ribeiro,Remoção,"Rua dos Navegantes, 612","Rua Dom Pedro, 856",Chevrolet Onix,180.00,,40.0,220.00
343,3,18,1287,2024-08-17,Clara Gomes,Remoção,"Rua dos Navegantes, 276","Rua das Palmeiras, 48",Fiat Strada,180.00,,,180.00
